step,max_d_obs,max_d_action,d_root_z,d_root_x,z_isaac,z_mujoco
0,1.9372e-06,1.1325e-06,0.0001995,5.7098e-06,0.7972,0.7970
1,7.6484,0.25334,0.001065,0.00033163,0.7913,0.7902
2,7.6484,0.56451,0.0015513,0.00031487,0.7881,0.7865
3,8.8033,0.88472,0.00055957,0.00065299,0.7870,0.7864
4,8.8033,0.79466,0.00050485,0.00040175,0.7870,0.7875
5,8.8033,0.8589,0.0014546,0.0011746,0.7869,0.7884
6,8.8033,1.599,0.0020195,0.0011351,0.7867,0.7887
7,7.8053,1.5162,0.0018388,0.00045182,0.7867,0.7886
8,6.1539,1.0252,0.001182,0.0006818,0.7868,0.7880
9,5.2056,1.0317,0.0012551,0.0011856,0.7866,0.7879
10,5.815,0.95436,0.0022706,0.00047041,0.7860,0.7883
11,5.7366,0.87461,0.0031236,0.00078341,0.7853,0.7884
12,3.7457,0.7745,0.0036618,0.0020412,0.7845,0.7882
13,3.4744,0.7057,0.0040007,0.0034279,0.7837,0.7877
14,3.4744,0.69925,0.0043672,0.005224,0.7826,0.7870
15,3.3712,0.73123,0.0051453,0.0074965,0.7811,0.7862
16,4.1021,0.87244,0.0061947,0.0098544,0.7790,0.7852
17,4.4655,1.0438,0.0074587,0.011814,0.7763,0.7838
18,4.6954,1.232,0.0088623,0.013189,0.7730,0.7819
19,4.906,1.3927,0.010183,0.013959,0.7693,0.7794
20,5.1359,1.4417,0.010542,0.014398,0.7657,0.7763
21,5.1653,1.4639,0.0097427,0.014887,0.7625,0.7722
22,5.3953,1.4521,0.0079336,0.015902,0.7601,0.7680
23,5.4206,1.1717,0.0050163,0.017174,0.7596,0.7646
24,5.5823,1.4978,0.0013719,0.017743,0.7612,0.7625
25,5.6331,0.81396,0.002108,0.017675,0.7644,0.7623
26,4.9675,0.8505,0.0048693,0.017452,0.7688,0.7640
27,4.4313,0.84473,0.0072054,0.017835,0.7739,0.7667
28,4.4313,0.76215,0.0089654,0.018855,0.7787,0.7698
29,5.1285,0.66679,0.0098614,0.020422,0.7827,0.7729
